"Unemployed, six months or more_y","Unemployed, six months or more_<i>Data: U.S. Bureau of Labor Statistics, Source: <a href=""http://qz.com/187731/the-us-government-is-suddenly-set-to-tackle-long-term-unemployment/"">Quartz</a></i>","Unemployed, 15-26 weeks_y","Unemployed, 15-26 weeks_<i>Data: U.S. Bureau of Labor Statistics, Source: <a href=""http://qz.com/187731/the-us-government-is-suddenly-set-to-tackle-long-term-unemployment/"">Quartz</a></i>","Unemployed, 5-14 weeks_y","Unemployed, 5-14 weeks_<i>Data: U.S. Bureau of Labor Statistics, Source: <a href=""http://qz.com/187731/the-us-government-is-suddenly-set-to-tackle-long-term-unemployment/"">Quartz</a></i>"
389.62264150943406,2012-8-25,154.85175202156336,2012-10-4,118.86792452830193,2012-11-24
382.88409703504044,2012-9-10,152.29110512129384,2012-10-21,121.29380053908359,2012-12-10
377.08894878706195,2012-9-25,152.8301886792453,2012-11-6,125.06738544474385,2012-12-27
371.69811320754724,2012-10-11,154.04312668463618,2012-11-23,128.97574123989216,2013-1-13
372.5067385444744,2012-10-28,157.1428571428571,2012-12-10,124.79784366576824,2013-1-29
377.89757412398916,2012-11-14,159.29919137466308,2012-12-26,119.1374663072776,2013-2-14
372.77628032345007,2012-11-29,159.29919137466308,2013-1-12,119.67654986522909,2013-3-3
365.9029649595688,2012-12-6,156.60377358490564,2013-1-28,119.67654986522915,2013-3-19
361.9946091644204,2012-12-20,150.94339622641508,2013-2-13,119.67654986522913,2013-4-5
361.4555256064689,2013-1-6,149.59568733153642,2013-3-1,118.46361185983828,2013-4-21
360.2425876010781,2013-1-22,152.56064690026955,2013-3-18,114.28571428571432,2013-5-7
357.81671159029656,2013-2-7,160.10781671159023,2013-4-5,114.82479784366578,2013-5-24
357.6819407008087,2013-2-24,166.84636118598385,2013-4-22,119.40700808625334,2013-6-10
358.7601078167116,2013-3-13,166.44204851752022,2013-5-8,120.21563342318055,2013-6-26
355.12129380053904,2013-3-29,164.95956873315362,2013-5-25,119.67654986522909,2013-7-13
347.30458221024253,2013-4-13,162.80323450134776,2013-6-10,117.92452830188681,2013-7-29
338.81401617250674,2013-4-28,159.70350404312666,2013-6-26,116.17250673854441,2013-8-14
331.5363881401617,2013-5-14,154.58221024258756,2013-7-12,115.22911051212935,2013-8-31
330.72776280323444,2013-5-30,150.80862533692718,2013-7-28,113.61185983827491,2013-9-16
330.05390835579516,2013-6-16,147.03504043126688,2013-8-13,112.3989218328841,2013-10-2
328.57142857142856,2013-7-2,148.51752021563337,2013-8-30,111.05121293800543,2013-10-19
326.28032345013474,2013-7-18,152.8301886792453,2013-9-16,109.97304582210243,2013-11-4
323.58490566037733,2013-8-3,153.09973045822107,2013-10-2,108.89487870619945,2013-11-20
322.50673854447433,2013-8-20,152.02156334231802,2013-10-19,107.00808625336929,2013-12-7
323.1805929919137,2013-9-5,150.4043126684636,2013-11-4,104.71698113207547,2013-12-23
319.40700808625337,2013-9-21,149.19137466307274,2013-11-20,103.7735849056604,2014-1-8
313.8814016172507,2013-10-7,145.0134770889488,2013-12-6,105.25606469002693,2014-1-25
310.377358490566,2013-10-23,143.12668463611857,2013-12-22,108.03234501347711,2014-2-9
307.00808625336924,2013-11-8,143.1266846361186,2014-1-8,,
306.46900269541777,2013-11-25,142.31805929919136,2014-1-24,,
305.25606469002696,2013-12-11,140.43126684636115,2014-2-10,,
298.7870619946092,2013-12-27,139.08355795148248,2014-2-19,,
291.1051212938005,2014-1-11,,,,
281.80592991913744,2014-1-26,,,,
279.9191374663073,2014-2-12,,,,
287.87061994609167,2014-3-1,,,,
291.5094339622641,2014-3-13,,,,
